question,answer1,answer2,answer3,answer4,answer5,type
"How often do you share personal and sensitive information with chatbots (e.g. sexual orientation, healthcare data)?","Never","Few times","Sometimes","Often","Really often",experiment
"How often do you ask chatbots for advice in topics related to your personal life (e.g. relationships, emotions, feelings)?","Never","Few times","Sometimes","Often","Really often",experiment
"How often do you see news or articles about artificial intelligence in your daily life (e.g., on social media, news websites, or TV)?","Never","Few times","Sometimes","Often","Really often",filler
"How often do you chat with chatbots even if you don't need anything from them (e.g. just to chat)?","Never","Few times","Sometimes","Often","Really often",experiment
"How often do you rely on the answers of chatbots without checking them?","Never","Few times","Sometimes","Often","Really often",experiment
"How often do you receive suspicious emails or messages that might be phishing attempts?","Never","Few times","Sometimes","Often","Really often",filler
"How often do you send and receive messages or emails?","Never","Few times","Sometimes","Often","Really often",control
"When you have to create a password for a new account, how often do you use strong passwords (different from any other password you used in the past, with many special characters and really long)?","Never","Few times","Sometimes","Often","Really often",experiment
"How often do you accept all the cookies (including the non-necessary ones) while browsing the internet?","Never","Few times","Sometimes","Often","Really often",experiment
"How often do you publicly share your online banking credentials on social media or public forums?","Never","Few times","Sometimes","Often","Really often",control
"How often do you read (even only partially) the privacy policy of a website before accepting it?","Never","Few times","Sometimes","Often","Really often",experiment
"How often do you watch tutorial videos or read guides to learn how to use new apps or digital tools?","Never","Few times","Sometimes","Often","Really often",filler
"How often do you deploy 2-factor authentication (2FA)?","Never","Few times","Sometimes","Often","Really often",experiment